state,value
AK,20.3
AL,30.6
AR,30.3
AZ,24.7
CA,17.3
CO,16.9
CT,18.3
DC,21.7
DE,25.1
FL,25.2
GA,31.7
HI,15.0
IA,18.2
ID,16.8
IL,19.3
IN,23.5
KS,20.4
KY,27.4
LA,33.1
MA,15.5
MD,21.9
ME,19.2
MI,21.9
MN,12.8
MO,25.1
MS,30.9
MT,16.6
NC,26.1
ND,15.4
NE,17.4
NH,15.8
NJ,17.4
NM,27.1
NV,28.4
NY,18.0
OH,24.8
OK,30.5
OR,16.1
PA,21.4
RI,20.3
SC,29.9
SD,15.5
TN,27.6
TX,32.9
UT,15.2
VA,19.2
VT,14.5
WA,14.3
WI,16.0
WV,28.9
WY,21.0
