state,value
AK,5.8
AL,5.9
AR,6.3
AZ,4.5
CT,0.9
DC,1.0
DE,5.7
FL,4.3
GA,7.4
HI,1.1
IA,2.3
ID,2.6
IN,4.5
KS,3.4
KY,5.1
LA,6.8
MA,1.1
MD,1.7
ME,5.0
MI,3.1
MN,0.3
MO,4.8
MS,5.3
MT,3.8
NC,3.7
ND,1.9
NE,2.1
NH,1.9
NJ,1.5
NM,5.3
NV,6.9
OH,4.4
OK,8.7
OR,0.9
PA,2.6
SC,4.7
SD,1.1
TN,7.9
TX,7.6
UT,2.3
VA,0.8
WI,3.2
WV,5.6
WY,8.5
