state,value
AK,12425
AL,8859
AR,9727
AZ,16384
CA,23071
CT,18616
DE,17252
FL,14230
GA,11066
HI,25096
IA,13253
ID,10887
IL,19601
IN,17461
KS,12741
KY,13075
LA,11133
MA,27067
MD,20124
ME,16144
MI,14064
MN,20592
MO,15080
MS,6492
MT,15476
NC,13916
ND,12281
NE,15080
NH,16462
NJ,17977
NV,15633
NY,20978
OH,13936
OK,11012
OR,21774
PA,15302
RI,18972
SD,8859
TN,13926
TX,10894
UT,14533
VA,17264
VT,21670
WA,23136
WI,18604
WV,9339
WY,13120
