state,value
AK,9.8
AL,12.2
AR,13.8
AZ,13.7
CA,13.2
CO,11.1
CT,10.5
DC,11.2
DE,12.2
FL,14.9
GA,13.9
HI,10.2
IA,10.3
ID,9.5
IL,11.6
IN,11.7
KS,10.7
KY,11.8
LA,14.2
MA,10.3
MD,11.7
ME,9.8
MI,11.3
MN,8.6
MO,11.3
MS,13.4
MT,9.8
NC,12.5
ND,9.0
NE,9.8
NH,9.8
NJ,11.4
NM,11.9
NV,16.3
NY,12.9
OH,11.1
OK,13.3
OR,9.5
PA,12.3
RI,11.4
SC,13.4
SD,9.1
TN,11.6
TX,14.2
UT,9.5
VA,9.8
VT,9.0
WA,9.3
WI,8.0
WV,13.7
WY,10.5
