"id","state","abbr","medcoll","medcoll_com_col","medcoll_white","medcollpos_p50","medcollpos_p50_com_col","medcollpos_p50_white","nohealthinsurance","nohealthinsurance_com_col","nohealthinsurance_white","poc","household_income_avg","household_income_avg_com_col","household_income_avg_white"
"44","Rhode Island","RI",0,0,0,NA,NA,NA,0.0448517,0.0849338,0.0256319,0.3232028,113091,90339.31,121122.4
"45","South Carolina","SC",0.0466566,0.0638665,0.0415751,1330,1291,1355,0.0910065,0.1282222,0.0682932,0.3808609,92577.55,68940.55,104823.3
"46","South Dakota","SD",0.0110649,0.0221828,0.0105881,1631,NA,1631,0.0826191,0.1938163,0.0541546,0.2060364,96650.13,67476.72,101767.9
"47","Tennessee","TN",0.0787826,0.1211634,0.0703564,1505,1278.5,1600,0.0930531,0.14577,0.0717125,0.2894441,94180.31,77619.53,99906.06
"48","Texas","TX",0.0756867,0.0791178,0.070204,1566,1566,1566,0.1637895,0.2095703,0.0913812,0.6125884,106548.8,89885.53,126679.2
"49","Utah","UT",0.0227335,0.046745,0.0208331,1499,1441,1509,0.0796964,0.1628285,0.0513885,0.2545128,117752.2,103877.9,121337.7
"50","Vermont","VT",0,NA,0,NA,NA,NA,0.0337677,0.0546298,0.0312725,0.1072461,105931.4,106426.5,105885.8
"51","Virginia","VA",0.008076,0.0094551,0.0073565,1177,1126,1212,0.0640196,0.0960971,0.0410081,0.4192493,123132,109130,131268.1
"53","Washington","WA",0,0,0,NA,NA,NA,0.062525,0.0978592,0.041301,0.3757032,129161.3,131228.4,128261.9
"54","West Virginia","WV",0.0561491,NA,0.0561484,1426,NA,1422.5,0.059164,0.0697058,0.0579679,0.1057144,76584.99,67376.47,77464.84
"55","Wisconsin","WI",0.0321315,0.051513,0.0304821,1428,1000,1497,0.0485645,0.091264,0.0368665,0.2160976,97893.77,83138.06,100872.8
"56","Wyoming","WY",0.0846345,0.2195122,0.0837362,2380.5,NA,2389,0.106528,0.1898122,0.0873554,0.1873481,93303.61,80172.71,95460.84
