year,location,Average Lowest-Cost Bronze Premium,Average Lowest-Cost Silver Premium,Average Benchmark Premium,Average Lowest-Cost Gold Premium
2023,Florida,353,468,471,459
2023,Georgia,328,411,413,433
2023,Hawaii,329,430,469,439
2023,Idaho,325,415,420,444
2023,Illinois,340,449,453,482
2023,Indiana,327,395,397,521
2023,Iowa,346,475,484,451
2023,Kansas,353,467,471,480
2023,Kentucky,333,417,422,472
2023,Louisiana,423,550,565,624
2023,Maine,372,449,457,507
2023,Maryland,242,334,336,323
2023,Massachusetts,347,407,417,522
2023,Michigan,266,354,362,398
2023,Minnesota,287,328,335,376
2023,Mississippi,401,462,461,548
2023,Missouri,385,472,473,562
2023,Montana,343,471,477,521
2023,Nebraska,414,549,550,579
2023,Nevada,295,385,386,464
2023,New Hampshire,266,317,323,359
2023,New Jersey,358,435,441,674
2023,New Mexico,357,429,445,353
2023,New York,484,619,627,799
2023,North Carolina,352,501,512,531
2023,North Dakota,296,463,475,452
2023,Ohio,322,411,413,455
2023,Oklahoma,372,503,510,507
2023,Oregon,343,453,462,493
2023,Pennsylvania,292,420,433,380
2023,Rhode Island,270,364,379,379
2023,South Carolina,355,489,496,515
2023,South Dakota,459,608,626,626
2023,Tennessee,341,471,473,477
2023,Texas,324,454,461,407
2023,Utah,331,462,471,545
2023,Vermont,641,837,841,894
2023,Virginia,277,354,371,360
2023,Washington,280,382,395,395
2023,West Virginia,627,822,824,839
2023,Wisconsin,334,449,456,462
2023,Wyoming,573,801,802,708
2022,United States,329,428,438,462
2022,Alabama,418,569,597,697
2022,Alaska,429,672,712,610
2022,Arizona,314,383,390,500
2022,Arkansas,311,374,387,458
2022,California,327,395,417,426
2022,Colorado,269,345,351,353
2022,Connecticut,419,540,581,511
2022,Delaware,415,538,548,529
2022,District of Columbia,348,382,387,417
2022,Florida,346,453,456,480
2022,Georgia,304,392,394,403
2022,Hawaii,313,468,484,450
2022,Idaho,323,452,461,480
2022,Illinois,331,413,418,464
2022,Indiana,316,394,398,527
2022,Iowa,347,480,502,465
2022,Kansas,346,446,450,477
2022,Kentucky,315,380,387,470
2022,Louisiana,408,512,541,609
2022,Maine,338,420,427,482
2022,Maryland,221,319,328,296
2022,Massachusetts,302,374,389,450
2022,Michigan,251,335,340,374
2022,Minnesota,293,322,331,387
2022,Mississippi,408,448,448,573
2022,Missouri,355,439,442,519
2022,Montana,331,449,483,487
2022,Nebraska,446,591,595,633
2022,Nevada,279,382,383,443
2022,New Hampshire,264,305,309,354
2022,New Jersey,349,400,424,610
2022,New Mexico,259,370,389,317
2022,New York,429,569,592,724
2022,North Carolina,342,496,504,491
2022,North Dakota,288,478,497,448
2022,Ohio,307,371,375,441
2022,Oklahoma,355,483,498,470
2022,Oregon,329,430,444,464
2022,Pennsylvania,285,398,410,381
2022,Rhode Island,240,341,361,349
2022,South Carolina,339,438,444,483
2022,South Dakota,434,592,601,610
2022,Tennessee,338,441,445,488
2022,Texas,306,415,424,403
2022,Utah,289,438,456,486
2022,Vermont,571,732,749,752
2022,Virginia,343,445,450,435
2022,Washington,287,382,396,407
2022,West Virginia,621,752,752,839
2022,Wisconsin,325,420,429,445
2022,Wyoming,507,745,762,631
2021,United States,328,436,452,482
2021,Alabama,401,549,590,669
2021,Alaska,435,673,675,608
2021,Arizona,342,418,436,553
2021,Arkansas,322,387,394,499
2021,California,323,400,426,444
2021,Colorado,273,346,351,383
2021,Connecticut,368,523,580,489
2021,Delaware,400,522,540,517
2021,District of Columbia,337,384,415,431
2021,Florida,339,447,457,489
2021,Georgia,348,443,456,463
2021,Hawaii,314,467,478,440
2021,Idaho,330,492,495,526
2021,Illinois,337,415,423,478
2021,Indiana,333,400,421,592
2021,Iowa,311,481,523,443
2021,Kansas,373,470,491,501
2021,Kentucky,342,455,476,579
2021,Louisiana,410,502,545,614
2021,Maine,348,435,440,494
2021,Maryland,222,342,347,327
2021,Massachusetts,277,353,363,419
2021,Michigan,255,340,347,370
2021,Minnesota,251,295,307,362
2021,Mississippi,407,458,459,543
2021,Missouri,347,467,479,530
2021,Montana,330,445,471,483
2021,Nebraska,439,645,699,631
2021,Nevada,280,383,393,472
2021,New Hampshire,247,325,357,363
2021,New Jersey,319,388,405,661
2021,New Mexico,236,328,339,324
2021,New York,430,588,597,709
2021,North Carolina,350,503,516,518
2021,North Dakota,273,464,493,432
2021,Ohio,280,360,375,428
2021,Oklahoma,367,504,554,502
2021,Oregon,318,426,437,458
2021,Pennsylvania,306,439,455,427
2021,Rhode Island,231,328,349,339
2021,South Carolina,328,469,476,513
2021,South Dakota,454,609,618,652
2021,Tennessee,340,454,466,564
2021,Texas,301,420,436,429
2021,Utah,285,467,472,483
2021,Vermont,491,666,669,674
2021,Virginia,358,470,479,464
2021,Washington,280,380,388,422
2021,West Virginia,596,635,654,825
2021,Wisconsin,338,443,457,480
2021,Wyoming,519,785,791,645
2020,United States,331,442,462,501
2020,Alabama,384,521,553,641
2020,Alaska,448,698,724,636
2020,Arizona,363,435,442,579
2020,Arkansas,320,358,365,461
2020,California,314,396,430,443
2020,Colorado,280,353,358,385
2020,Connecticut,340,547,570,533
2020,Delaware,372,521,548,531
2020,District of Columbia,345,404,414,450
2020,Florida,338,454,468,501
2020,Georgia,347,430,463,491
2020,Hawaii,363,460,474,455
2020,Idaho,329,512,520,551
2020,Illinois,361,435,451,499
2020,Indiana,310,381,387,534
2020,Iowa,398,636,742,527
2020,Kansas,372,496,502,497
2020,Kentucky,335,453,471,582
2020,Louisiana,376,467,500,571
2020,Maine,384,506,513,609
2020,Maryland,266,388,397,373
2020,Massachusetts,259,324,343,386
2020,Michigan,251,348,360,382
2020,Minnesota,256,294,309,355
2020,Mississippi,422,449,487,575
2020,Missouri,379,467,483,593
2020,Montana,328,455,483,502
2020,Nebraska,468,667,711,613
2020,Nevada,307,372,374,482
2020,New Hampshire,303,390,405,456
2020,New Jersey,314,382,392,657
2020,New Mexico,257,326,345,342
2020,New York,418,588,610,706
2020,North Carolina,365,518,558,553
2020,North Dakota,273,372,383,409
2020,Ohio,278,368,375,445
2020,Oklahoma,365,527,601,521
2020,Oregon,314,428,446,468
2020,Pennsylvania,335,449,459,486
2020,Rhode Island,219,314,332,325
2020,South Carolina,351,496,509,529
2020,South Dakota,438,588,593,659
2020,Tennessee,351,485,511,617
2020,Texas,295,418,432,471
2020,Utah,289,479,486,609
2020,Vermont,476,645,662,652
2020,Virginia,380,506,521,510
2020,Washington,305,386,391,435
2020,West Virginia,552,619,628,804
2020,Wisconsin,345,470,491,484
2020,Wyoming,590,875,881,732
2019,United States,340,454,478,516
