"id","state","abbr","totcoll","totcoll_com_col","totcoll_white","totcollpos_p50","totcollpos_p50_com_col","totcollpos_p50_white","medcoll","medcoll_com_col","medcoll_white","stddelderogofstdtot","stddelderogofstdtot_com_col","stddelderogofstdtot_white","autoretdelrate","autoretdelrate_com_col","autoretdelrate_white","carddelrate","carddelrate_com_col","carddelrate_white","carddelpos_p50","carddelpos_p50_com_col","carddelpos_p50_white","poc","household_income_avg","household_income_avg_com_col","household_income_avg_white"
"24","Maryland","MD",0.2185437,0.2654253,0.1733027,2503,2584,2394,0.0168229,0.0203996,0.0133628,0.1770664,0.2031203,0.1450314,0.0607987,0.0766222,0.0463769,0.0595271,0.0740202,0.0467257,687,669,715,0.5367509,129365.6,113192.3,144915.7
"25","Massachusetts","MA",0.1554754,0.2644992,0.1321433,2358.5,2122,2476,0.0114749,0.0150211,0.0107146,0.1179088,0.195242,0.1021269,0.0377147,0.0702755,0.0312337,0.0452722,0.0859857,0.0379222,721,601,795,0.3407483,138516.3,116898.1,146930.4
"26","Michigan","MI",0.2192057,0.4360051,0.1863058,2343,2531,2277,0.0313671,0.0552618,0.0277425,0.1633225,0.2817643,0.1415355,0.059036,0.1561232,0.0457508,0.0510008,0.1125286,0.0439463,664,523,706,0.2765278,93805.59,78268.07,98733.16
"27","Minnesota","MN",0.1276983,0.2372723,0.1181366,2384,2096,2432.5,0.0025016,0.0043206,0.0023314,0.1064342,0.1656851,0.1009788,0.0318368,0.0668007,0.0289955,0.033304,0.0629379,0.0310959,716,573,737,0.2444231,113293.1,100273.5,116262.4
"28","Mississippi","MS",0.3086904,0.3902288,0.2613411,2140,2132,2156,0.0529838,0.0681691,0.0441373,0.2228698,0.2584446,0.1963326,0.1019718,0.1391741,0.0812099,0.0875426,0.1132798,0.0750793,542,503,588,0.4492787,76304.97,57134.81,90845.84
"29","Missouri","MO",0.2513362,0.4631513,0.2233992,2200,2106,2226,0.0484514,0.0841363,0.0437647,0.1349885,0.1698909,0.1294848,0.0604957,0.1248826,0.0528511,0.0526969,0.102025,0.0475683,658,558,685,0.2352514,93073.76,77912.2,97083.95
"30","Montana","MT",0.1659728,0.3844581,0.1596489,2371,2294,2378,0.0377855,0.0674847,0.036929,0.1293564,0.3361345,0.1239579,0.0351158,0.1534391,0.0314205,0.0365111,0.0551559,0.0361786,727,NA,763.5,0.1669871,94068.75,84730.88,95448.45
"31","Nebraska","NE",0.1736184,0.3305675,0.1564054,2513,2308.5,2561,0.020888,0.0476269,0.017955,0.1287269,0.2267442,0.1207951,0.0396661,0.0725389,0.0362644,0.0423905,0.0717246,0.0399566,685,560,707.5,0.2484125,101267.7,82257.23,105882.4
"32","Nevada","NV",0.2840076,0.3329959,0.2209447,3345,3289.5,3476,0.0686758,0.0762223,0.058907,0.1921597,0.2182021,0.1569073,0.0692306,0.0848408,0.0501993,0.0689798,0.0836702,0.052654,860,801,963.5,0.5561388,103067.1,89734.97,114630.6
"33","New Hampshire","NH",0.1578993,NA,0.1579642,2737,NA,2737,0.019459,NA,0.019467,0.1232246,NA,0.1232408,0.0338092,NA,0.0338146,0.0415026,NA,0.0415198,778.5,NA,778.5,0.1352494,124500.2,128940.5,123968.6
"34","New Jersey","NJ",0.1743608,0.2356173,0.1297901,2394,2269,2582,0.0149281,0.0195566,0.0115633,0.1485919,0.1993842,0.1121299,0.0502826,0.0756294,0.0337132,0.0513858,0.0724613,0.0378025,759,710,844,0.4938362,138152.7,120685.4,151763.2
"35","New Mexico","NM",0.271342,0.2965851,0.1830936,2367.5,2372,2361,0.0526992,0.0582855,0.0331359,0.1907599,0.1994636,0.1580604,0.0678951,0.0725678,0.0474218,0.0573016,0.0641953,0.0366618,667,642.5,788,0.6406757,85782.43,74839.1,99802.78
"36","New York","NY",0.1798421,0.2363864,0.1421256,2572,2468,2705.5,0,0,0,0.1503003,0.1988292,0.1209056,0.0455105,0.0727079,0.0338216,0.0543401,0.0765559,0.0409534,712,653,792,0.4724918,122227.1,103293.5,135777.7
"37","North Carolina","NC",0.260891,0.3490936,0.2273077,2184,2235.5,2154,0.0372347,0.0433132,0.0349219,0.1853933,0.2281594,0.1636971,0.0681538,0.0938571,0.0581452,0.0666795,0.0959014,0.0569659,653,610,691,0.4024841,98138.72,80549.8,107792.7
"38","North Dakota","ND",0.1536406,0.295421,0.1494499,2569,1391,2642,0.0192952,0.0221566,0.0192106,0.1081217,0.1904762,0.1067961,0.0428856,0.1076923,0.0405992,0.0419776,0.096463,0.0409299,683,NA,704,0.185367,98324.34,82332.77,101327.1
"39","Ohio","OH",0.2483002,0.4467169,0.2223425,1985.5,1897,2009,0.0441311,0.0561544,0.0425408,0.1695214,0.2638007,0.1551068,0.0600557,0.126423,0.0521505,0.055658,0.1106095,0.0499993,649,555,680,0.2439321,93500.4,75707.15,98349.7
"40","Oklahoma","OK",0.3046185,0.4081847,0.28468,2365,2094,2441,0.086573,0.1260269,0.0789765,0.1546314,0.1752254,0.1510551,0.0628002,0.0865607,0.058849,0.0630779,0.0900264,0.0589523,661,551,696,0.3826533,85649.86,74420.35,90897.37
"41","Oregon","OR",0.1608322,0.2065026,0.158762,2332,2197,2338,0.0088091,0.0072056,0.0088783,0.1270025,0.1497731,0.1260932,0.0389932,0.0500954,0.038402,0.042901,0.0536972,0.0424611,751,803,744.5,0.292023,107213.5,104901.3,107909.1
"42","Pennsylvania","PA",0.2143016,0.4129484,0.1841662,2478,2306.5,2546,0.0262843,0.0349195,0.0249704,0.1534252,0.2659951,0.1335551,0.0499029,0.1117702,0.0422097,0.0539937,0.112495,0.0468435,688,550,731,0.2728961,102578.3,84696.7,107955.5
"44","Rhode Island","RI",0.2025755,0.3278961,0.1748131,2432,2146,2555,0,0,0,0.1524229,0.2298196,0.1347901,0.0475551,0.0943396,0.0382343,0.055881,0.1040368,0.0468576,677,513,725,0.3232028,113091,90339.31,121122.4
