"date","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
"2006-01-01",15190,26449,21445,15356,23745,22882,26609,23550,17546,20133,19543,26171,20132,21533,20200,20464,20159,15301,14803,18386,29462,22837,20196,24317,13626,18550,17879,20286,24710,26171,26689,16563,19851,18176,17544,18964,16466,20315,19250,20700,17041,18418,16491,18697,24858,21138,24699,23427,14857,21692,22302
"2007-01-01",15956,29080,22264,15616,24843,24136,28094,24682,19691,21286,20581,29618,22486,22687,21189,20904,21519,16096,15423,19962,30259,24375,20398,25170,14334,19400,18445,20857,26177,29326,27788,17484,20534,18567,18440,19670,17710,21165,20353,20294,18167,20194,17648,20263,27166,22232,25618,24683,14938,22544,24233
"2008-01-01",17176,32750,22646,16502,24923,24835,27847,25999,20159,20819,20768,29397,22175,23283,21079,21730,22626,16227,17360,20045,31002,25145,20560,25309,14644,20424,19834,22126,26094,28592,29475,18307,21461,20002,20340,20251,18359,21273,21100,21226,18333,20438,18444,20695,27769,23330,25960,25689,15282,23837,24925
"2009-01-01",16148,31375,20963,15860,24332,23932,26985,24929,19543,19936,19272,27670,21047,22025,20168,21047,21026,15942,16943,20011,30109,24547,19190,24087,14436,19484,18523,20924,24648,26524,27569,18068,20925,18433,20073,19109,18045,20925,20788,21188,17310,19446,17056,20044,26566,22377,25591,24761,15446,21937,24060
"2010-01-01",16156,28087,20651,16571,23400,22729,25843,24162,20216,19276,18836,26672,19735,22045,20039,21384,21081,15997,16677,19946,29753,23029,19146,23783,14867,18948,19487,21476,22176,27633,26945,17382,21021,18251,20829,19116,18081,20304,20491,20240,17258,20259,17106,20396,25116,20954,25568,23853,15928,21680,23299
"2011-01-01",16494,30991,19990,15861,22789,23431,25779,25740,21233,19119,18393,27840,19387,21627,19856,21572,21773,16087,15638,19407,29594,23374,19053,24298,14754,19317,19316,21815,21859,26897,26816,16855,20637,18332,21473,18848,18065,19856,20662,20272,17222,20958,17422,20495,25182,22840,25770,24389,15650,21718,25611
"2012-01-01",16231,30051,20790,16489,23067,24257,26146,25302,21782,19421,18815,27673,20782,22082,20564,22161,22158,16406,16348,20124,30026,23764,19407,25356,14610,19173,19707,22508,22085,27291,27149,17108,20963,18795,23792,19387,18769,20315,21217,20625,17703,22015,17946,20945,25973,22728,25745,24689,16235,22110,23655
"2013-01-01",17088,33309,20785,16894,23616,25344,26520,25652,21036,19973,19403,28678,21424,22332,20587,22926,22463,17211,16695,19918,30721,24644,20085,25702,14622,20070,19863,23054,22389,27785,27090,17316,21426,19468,24110,20116,19691,21203,21513,21684,18156,22306,18693,21525,27160,21641,26410,24619,16872,22310,25206
"2014-01-01",16977,31761,21157,17577,24563,26572,27127,26337,21230,20519,20125,29900,21382,23061,21444,23167,22952,17083,17032,20431,31491,25121,20926,26452,15711,20546,20190,23547,22923,29386,27989,17326,21614,19916,25476,20337,20182,21446,21988,21255,19017,22025,18440,21809,28255,23017,26635,26039,17233,23323,24506
"2015-01-01",17574,32587,22070,17765,25614,28200,28019,27146,24523,21293,21141,31844,21006,24000,22271,23801,23599,18144,17240,20911,32060,26338,21446,27527,15972,21517,21156,23891,23527,30872,28203,17643,22358,20399,25702,21343,20521,23165,23005,21736,19814,23336,20086,23378,29911,23856,27495,27775,17471,24637,26465
